parameter,mean,median,q025,q975
beta,1.4637065540771654,1.4637065540771654,1.4637065540771654,1.4637065540771654
rho,3,3,3,3
gamma,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143
q,0,0,0,0
