beta,rho,gamma,q
1.4637065540771654,3,2.142857142857143,0
1.4637065540771654,3,2.142857142857143,0
1.4637065540771654,3,2.142857142857143,0
1.4637065540771654,3,2.142857142857143,0
1.4637065540771654,3,2.142857142857143,0
1.4637065540771654,3,2.142857142857143,0
1.4637065540771654,3,2.142857142857143,0
1.4637065540771654,3,2.142857142857143,0
1.4637065540771654,3,2.142857142857143,0
1.4637065540771654,3,2.142857142857143,0
1.4637065540771654,3,2.142857142857143,0
1.4637065540771654,3,2.142857142857143,0
1.4637065540771654,3,2.142857142857143,0
1.4637065540771654,3,2.142857142857143,0
1.4637065540771654,3,2.142857142857143,0
1.4637065540771654,3,2.142857142857143,0
1.4637065540771654,3,2.142857142857143,0
1.4637065540771654,3,2.142857142857143,0
1.4637065540771654,3,2.142857142857143,0
1.4637065540771654,3,2.142857142857143,0
1.4637065540771654,3,2.142857142857143,0
1.4637065540771654,3,2.142857142857143,0
1.4637065540771654,3,2.142857142857143,0
1.4637065540771654,3,2.142857142857143,0
1.4637065540771654,3,2.142857142857143,0
1.4637065540771654,3,2.142857142857143,0
1.4637065540771654,3,2.142857142857143,0
1.4637065540771654,3,2.142857142857143,0
1.4637065540771654,3,2.142857142857143,0
1.4637065540771654,3,2.142857142857143,0
1.4637065540771654,3,2.142857142857143,0
1.4637065540771654,3,2.142857142857143,0
1.4637065540771654,3,2.142857142857143,0
1.4637065540771654,3,2.142857142857143,0
1.4637065540771654,3,2.142857142857143,0
1.4637065540771654,3,2.142857142857143,0
1.4637065540771654,3,2.142857142857143,0
1.4637065540771654,3,2.142857142857143,0
1.4637065540771654,3,2.142857142857143,0
1.4637065540771654,3,2.142857142857143,0
1.4637065540771654,3,2.142857142857143,0
1.4637065540771654,3,2.142857142857143,0
1.4637065540771654,3,2.142857142857143,0
1.4637065540771654,3,2.142857142857143,0
1.4637065540771654,3,2.142857142857143,0
1.4637065540771654,3,2.142857142857143,0
1.4637065540771654,3,2.142857142857143,0
1.4637065540771654,3,2.142857142857143,0
1.4637065540771654,3,2.142857142857143,0
1.4637065540771654,3,2.142857142857143,0
