scenario,theta,beta,R0,NLL,pearson_r,RMSE,delta_NLL,best
"Slow (60%, 18 mo)",0.03963054932652582,6.043404887438668,2.8202556141380453,4424.955744464434,0.7918953047642204,1215.5123959680245,0,TRUE
"Lower (40%, 12 mo)",0.0346262869968055,5.9404575444962315,2.7722135207649083,4572.2852592220825,0.7828041504169055,1254.1153167369732,147.3295147576482,FALSE
"Baseline (60%, 12 mo)",0.05944582398978873,6.422877175657109,2.9973426819733175,4787.308605591841,0.8086871212766291,1170.1923511836583,362.35286112740687,FALSE
"Higher (80%, 12 mo)",0.09495285693236376,7.027197526008726,3.2793588454707385,7772.379852122892,0.7827662777400436,1436.1478587214972,3347.4241076584576,FALSE
No vaccination,0,5.1096109887116175,2.3844851280654216,10257.551318466081,0.6466814180410169,1746.2084797177542,5832.595574001647,FALSE
"Fast (60%, 6 mo)",0.11889164797957746,7.399420494273386,3.4530628973275803,10725.826479463427,0.742570642315901,1730.4307698979426,6300.870734998993,FALSE
