parameter,estimated,mean,median,q025,q975
beta,TRUE,2.9051000054131775,2.905193122546291,2.8987569352681604,2.911898954349143
theta,FALSE,0.05944582398978873,0.05944582398978873,0.05944582398978873,0.05944582398978873
R0,NA,1.3557133358594828,1.3557567905216026,1.352753236458475,1.358886178696267
gamma,FALSE,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143
