beta,theta
4.0135166798206825,0.15486149450917416
4.0135166798206825,0.15486149450917416
4.0135166798206825,0.15486149450917416
4.0168803622876474,0.15486149450917416
4.016461198440311,0.15486149450917416
4.016461198440311,0.15486149450917416
4.016461198440311,0.15486149450917416
4.016461198440311,0.15486149450917416
4.016461198440311,0.15486149450917416
4.016461198440311,0.15480993805062507
4.016461198440311,0.15480993805062507
4.014592448954551,0.15480993805062507
4.014592448954551,0.15480993805062507
4.014592448954551,0.15480993805062507
4.014592448954551,0.15480993805062507
4.014592448954551,0.15480993805062507
4.009421825106257,0.15480993805062507
4.009421825106257,0.15480993805062507
4.0154228709166535,0.15480993805062507
4.0154228709166535,0.15480993805062507
4.0154228709166535,0.15480993805062507
4.0154228709166535,0.15480993805062507
4.0154228709166535,0.1547491066244395
4.0154228709166535,0.1547491066244395
4.0154228709166535,0.1547491066244395
4.0154228709166535,0.1547491066244395
4.0154228709166535,0.1547491066244395
4.0154228709166535,0.1547491066244395
4.0154228709166535,0.1547491066244395
4.0154228709166535,0.1547491066244395
4.0154228709166535,0.1547491066244395
4.0154228709166535,0.1556477649307285
4.020063978500947,0.1556477649307285
4.020063978500947,0.1556477649307285
4.020063978500947,0.1556477649307285
4.020063978500947,0.1556477649307285
4.020063978500947,0.1556477649307285
4.020063978500947,0.1556477649307285
4.020063978500947,0.15561213178619032
4.020063978500947,0.1555907668811595
4.020063978500947,0.1555907668811595
4.020063978500947,0.15498785271890847
4.020063978500947,0.15498785271890847
4.017990017393146,0.15498785271890847
4.017990017393146,0.15498785271890847
4.017990017393146,0.15498785271890847
4.017409043699615,0.15498785271890847
4.017409043699615,0.15498785271890847
4.017409043699615,0.15498785271890847
4.026922281661604,0.15498785271890847
4.026922281661604,0.15498785271890847
4.028744711135421,0.15498785271890847
4.010224046373732,0.15498785271890847
4.010224046373732,0.15498785271890847
4.010224046373732,0.15498785271890847
4.017900946279204,0.15498785271890847
4.017900946279204,0.15498785271890847
4.017900946279204,0.15538194733597122
4.017900946279204,0.1549009325341808
4.017900946279204,0.1549009325341808
4.017900946279204,0.1549009325341808
4.0180778619385125,0.1549009325341808
4.0180778619385125,0.1549009325341808
4.017856990998784,0.1549009325341808
4.017856990998784,0.1549009325341808
4.017856990998784,0.1549009325341808
4.017856990998784,0.1549009325341808
4.017856990998784,0.1549009325341808
4.0070944217302245,0.1549009325341808
4.0070944217302245,0.1549009325341808
4.0070944217302245,0.1547217760077033
4.0070944217302245,0.1547217760077033
4.0070944217302245,0.1547217760077033
4.0070944217302245,0.1547217760077033
4.0070944217302245,0.1547217760077033
4.0070944217302245,0.1547217760077033
4.0070944217302245,0.15394764222566404
4.0070944217302245,0.15427844336888447
4.0070944217302245,0.15427844336888447
4.0070944217302245,0.1548038224721026
4.0070944217302245,0.1548038224721026
4.0070944217302245,0.1548038224721026
4.0070944217302245,0.1548038224721026
4.0070944217302245,0.1548038224721026
4.0070944217302245,0.1535054873176191
4.0070944217302245,0.1535054873176191
4.013328028843754,0.15376728933953893
4.009032539914609,0.15403743364780828
4.009032539914609,0.15403743364780828
4.009032539914609,0.15403743364780828
4.007196966349842,0.15403743364780828
3.9999849202704225,0.15403743364780828
3.9999849202704225,0.15403743364780828
3.9999849202704225,0.15403743364780828
3.9999849202704225,0.15403743364780828
3.9999849202704225,0.1544859379799718
3.9999849202704225,0.1544859379799718
3.9999849202704225,0.15370285798107858
3.9999849202704225,0.15370285798107858
3.9999849202704225,0.15370285798107858
4.005975064461408,0.15420990970303397
4.005975064461408,0.15420990970303397
4.004250750796873,0.15420990970303397
4.004250750796873,0.15420990970303397
4.004250750796873,0.1538076703723977
4.004250750796873,0.1538076703723977
3.9905751018159497,0.1538076703723977
3.9905751018159497,0.1538076703723977
3.9905751018159497,0.1538076703723977
4.009676293196425,0.1538076703723977
3.9944767091838296,0.1538076703723977
3.9944767091838296,0.1538076703723977
3.9944767091838296,0.1538076703723977
4.002642827610909,0.1538076703723977
4.002642827610909,0.15398056911151617
4.002642827610909,0.1541324670715045
4.002642827610909,0.1541324670715045
4.008447087036057,0.1541324670715045
4.008447087036057,0.1541324670715045
4.008447087036057,0.15503440149652478
4.008447087036057,0.15503440149652478
4.008447087036057,0.15503440149652478
4.008447087036057,0.15503440149652478
4.008447087036057,0.1548763770731294
4.020951283874165,0.15609608220297147
4.020951283874165,0.15609608220297147
4.031927050100554,0.15609608220297147
4.031927050100554,0.15609608220297147
4.031927050100554,0.15609608220297147
4.031927050100554,0.15609608220297147
4.031927050100554,0.15609608220297147
4.031927050100554,0.15609608220297147
4.031927050100554,0.15609608220297147
4.031927050100554,0.15609608220297147
4.022266813422889,0.15609608220297147
4.022266813422889,0.15609608220297147
4.022266813422889,0.15609608220297147
4.022266813422889,0.15609608220297147
4.022266813422889,0.15505894889179261
4.022266813422889,0.15505894889179261
4.022266813422889,0.15505894889179261
4.022266813422889,0.15505894889179261
4.022266813422889,0.15505894889179261
4.022266813422889,0.1554005787915007
4.022266813422889,0.1554005787915007
4.022266813422889,0.1554005787915007
4.022266813422889,0.1554005787915007
4.028118557772065,0.1554005787915007
4.024096023849191,0.1554005787915007
4.02088981169986,0.1554005787915007
4.02088981169986,0.1555911177716499
4.02088981169986,0.1555911177716499
4.02088981169986,0.1555911177716499
4.02088981169986,0.1555911177716499
4.02088981169986,0.1555911177716499
4.02088981169986,0.1555911177716499
4.02088981169986,0.1555911177716499
4.02088981169986,0.1555911177716499
4.02088981169986,0.1555911177716499
4.02088981169986,0.1555911177716499
4.02088981169986,0.1555911177716499
4.02088981169986,0.15475319823098227
