parameter,estimated,mean,median,q025,q975
beta,TRUE,4.013515183712064,4.012671416801295,3.98436918653098,4.046498771461229
theta,TRUE,0.15482684701081362,0.15475319823098227,0.1521930347177894,0.1575018733474179
R0,NA,1.8729737523989634,1.872579994507271,1.8593722870477907,1.8883660933485735
gamma,FALSE,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143
